Family,Collection,treatment,individual,sex,stripe1,stripe2,orange_total,elytrasize,DBL_2stripe,Meanref_2stripe,DBL_black,logDBL_black,Meanref_black,logref_black,DBL_1stripe,Meanref_1stripe,bodysize_mg,eclosionfluid, ,firststripe_prop,secondstripe_prop
40138,F34,control,8,female,18.44,7.06,25.5,57.07,7727.979,5114.8905,3215.794,3.507288221,3105.7335,3.492164187,8193.93,5502.94925,202.4,27.5,0.446819695,0.323111968,0.123707727
40138,F34,control,9,male,12.12,5.49,17.61,67.95,8609.233,5757.35825,2134.79,3.32935516,1813.517,3.258521631,10441.889,6984.84475,102.3,20.8,0.259161148,0.178366446,0.080794702
40138,F34,control,12,female,17.88,7.73,25.61,53.95,11525.752,7702.2395,1815.394,3.258970896,1605.03625,3.205484845,13065.027,8990.6375,223.9,25.3,0.474698795,0.33141798,0.143280816
40138,F34,control,13,male,14.51,7.25,21.76,49.65,9952.621,6608.512,1721.801,3.235982956,1618.4155,3.209090029,10795.539,7410.67475,171.1,10.1,0.438267875,0.29224572,0.146022155
40138,F34,control,18,female,19.34,7.54,26.88,60.08,8865.15,5940.7615,1732.432,3.238656197,1587.3915,3.20068405,10011.894,6788.06325,197.3,19,0.447403462,0.321904128,0.125499334
40138,F34,control,23,male,18.83,6.97,25.8,67.19,8818.774,5819.7915,1678.579,3.224941786,1499.947,3.176075914,9299.643,6193.42425,224.5,18.7,0.383985712,0.280250037,0.103735675
40138,F34,control,24,female,16.42,6.97,23.39,55.49,8097.649,5321.37325,2655.378,3.424126353,2502.7535,3.398418077,8582.779,5630.3835,156.7,7.6,0.421517391,0.295909173,0.125608218
40144,F34,control,8,male,16.43,5.79,22.22,57.44,10061.52,6674.31,1919.39,3.283163228,1725.1075,3.236816163,10345.31,6842.33,140.2,17.8,0.38683844,0.286037604,0.100800836
40144,F34,control,11,male,13.96,5.15,19.11,56.18,9844.02,6463.5325,1969.66,3.294391265,1749,3.242789809,9016.71,6030.6075,145.3,30.3,0.340156639,0.248487006,0.091669633
40144,F34,control,14,female,13.52,4.8,18.32,46.65,6797.98,4673.445,3384.58,3.529504784,3187.8425,3.503496856,7508.66,4971.835,107.9,12.3,0.392711683,0.289817792,0.102893891
40144,F34,control,17,male,20.26,8.36,28.62,64.42,9348.18,6249.61,1558.35,3.192665005,1450.5175,3.161522973,10765.22,7240.125,163.9,19,0.444271965,0.314498603,0.129773362
40144,F34,control,19.1,male,16.79,7.34,24.13,50.56,8550.36,5635.5225,1706.18,3.232024847,1503.72,3.177166976,9156.53,6167.495,130.6,19.8,0.477254747,0.332080696,0.145174051
40144,F34,control,19.2,male,12.49,5.49,17.98,57.18,9722.82,6605.7725,1810.35,3.257762546,1660.115,3.220138174,9203.06,6171.24,167.8,19.4,0.31444561,0.218433019,0.096012592
40144,F34,control,20,male,16.8,6.47,23.27,59.4,7826.05,5186.7875,1514.37,3.180231998,1338.3375,3.126565647,13379.04,9491.5525,181.1,8,0.391750842,0.282828283,0.108922559
40144,F34,control,21,female,14.66,6.18,20.84,56.71,10644.78,7204.14,3363.41,3.526779811,3235.0475,3.509880662,10541.39,6958.465,178.7,10.2,0.367483689,0.2585082,0.108975489
40144,F34,control,23,female,17.81,8.24,26.05,60.73,9106.06,5998.435,2052.49,3.31228105,1723.4475,3.236398058,10493.2,7228.1725,169.1,,0.428947802,0.293265273,0.135682529
40144,F34,control,24,female,14.9,6.36,21.26,58.35,9830.57,6692.255,2516.59,3.400812467,2341.9425,3.369576228,9737.84,6479.31,155.7,12.6,0.364353042,0.255355613,0.108997429
